huc8,source_author,source_gage,source_sensor,wy,wy_mo,cy,cy_mo,mo_days,wy_type,af,cfs
McCloud,CDEC,MSS,65,1906,1,1905,10,31,W,89900,1462.083333
McCloud,CDEC,MSS,65,1906,2,1905,11,30,W,110900,1863.736111
McCloud,CDEC,MSS,65,1906,3,1905,12,31,W,156900,2551.733871
McCloud,CDEC,MSS,65,1906,4,1906,1,31,W,192400,3129.086022
McCloud,CDEC,MSS,65,1906,5,1906,2,28,W,237800,4281.815476
McCloud,CDEC,MSS,65,1906,6,1906,3,31,W,227400,3698.306452
McCloud,CDEC,MSS,65,1906,7,1906,4,30,W,231400,3888.805556
McCloud,CDEC,MSS,65,1906,8,1906,5,31,W,179600,2920.913978
McCloud,CDEC,MSS,65,1906,9,1906,6,30,W,123100,2068.763889
McCloud,CDEC,MSS,65,1906,10,1906,7,31,W,100000,1626.344086
McCloud,CDEC,MSS,65,1906,11,1906,8,31,W,90100,1465.336022
McCloud,CDEC,MSS,65,1906,12,1906,9,30,W,84100,1413.347222
McCloud,CDEC,MSS,65,1907,1,1906,10,31,W,110500,1797.110215
McCloud,CDEC,MSS,65,1907,2,1906,11,30,W,136300,2290.597222
McCloud,CDEC,MSS,65,1907,3,1906,12,31,W,192800,3135.591398
McCloud,CDEC,MSS,65,1907,4,1907,1,31,W,236500,3846.303763
McCloud,CDEC,MSS,65,1907,5,1907,2,28,W,292300,5263.139881
McCloud,CDEC,MSS,65,1907,6,1907,3,31,W,279600,4547.258065
McCloud,CDEC,MSS,65,1907,7,1907,4,30,W,284500,4781.180556
McCloud,CDEC,MSS,65,1907,8,1907,5,31,W,220800,3590.967742
McCloud,CDEC,MSS,65,1907,9,1907,6,30,W,151300,2542.680556
McCloud,CDEC,MSS,65,1907,10,1907,7,31,W,122900,1998.776882
McCloud,CDEC,MSS,65,1907,11,1907,8,31,W,110700,1800.362903
McCloud,CDEC,MSS,65,1907,12,1907,9,30,W,103400,1737.694444
McCloud,CDEC,MSS,65,1908,1,1907,10,31,W,63000,1024.596774
McCloud,CDEC,MSS,65,1908,2,1907,11,30,BN,77700,1305.791667
McCloud,CDEC,MSS,65,1908,3,1907,12,31,BN,109900,1787.352151
McCloud,CDEC,MSS,65,1908,4,1908,1,32,BN,134900,2125.377604
McCloud,CDEC,MSS,65,1908,5,1908,2,29,BN,166700,2898.08908
McCloud,CDEC,MSS,65,1908,6,1908,3,32,BN,159400,2511.380208
McCloud,CDEC,MSS,65,1908,7,1908,4,31,BN,162200,2637.930108
McCloud,CDEC,MSS,65,1908,8,1908,5,32,BN,125900,1983.580729
McCloud,CDEC,MSS,65,1908,9,1908,6,31,BN,86300,1403.534946
McCloud,CDEC,MSS,65,1908,10,1908,7,32,BN,70100,1104.440104
McCloud,CDEC,MSS,65,1908,11,1908,8,32,BN,63200,995.7291667
McCloud,CDEC,MSS,65,1908,12,1908,9,31,BN,58900,957.9166667
McCloud,CDEC,MSS,65,1909,1,1908,10,32,BN,116000,1827.604167
McCloud,CDEC,MSS,65,1909,2,1908,11,31,W,143100,2327.298387
McCloud,CDEC,MSS,65,1909,3,1908,12,32,W,202400,3188.854167
McCloud,CDEC,MSS,65,1909,4,1909,1,31,W,248300,4038.212366
McCloud,CDEC,MSS,65,1909,5,1909,2,28,W,306900,5526.026786
McCloud,CDEC,MSS,65,1909,6,1909,3,31,W,293500,4773.319892
McCloud,CDEC,MSS,65,1909,7,1909,4,30,W,298600,5018.138889
McCloud,CDEC,MSS,65,1909,8,1909,5,31,W,231800,3769.865591
McCloud,CDEC,MSS,65,1909,9,1909,6,30,W,158800,2668.722222
McCloud,CDEC,MSS,65,1909,10,1909,7,31,W,129000,2097.983871
McCloud,CDEC,MSS,65,1909,11,1909,8,31,W,116300,1891.438172
McCloud,CDEC,MSS,65,1909,12,1909,9,30,W,108500,1823.402778
McCloud,CDEC,MSS,65,1910,1,1909,10,31,W,72500,1179.099462
McCloud,CDEC,MSS,65,1910,2,1909,11,30,W,89400,1502.416667
McCloud,CDEC,MSS,65,1910,3,1909,12,31,W,126500,2057.325269
McCloud,CDEC,MSS,65,1910,4,1910,1,31,W,155200,2524.086022
McCloud,CDEC,MSS,65,1910,5,1910,2,28,W,191800,3453.541667
McCloud,CDEC,MSS,65,1910,6,1910,3,31,W,183500,2984.341398
McCloud,CDEC,MSS,65,1910,7,1910,4,30,W,186700,3137.597222
McCloud,CDEC,MSS,65,1910,8,1910,5,31,W,144900,2356.572581
McCloud,CDEC,MSS,65,1910,9,1910,6,30,W,99300,1668.791667
McCloud,CDEC,MSS,65,1910,10,1910,7,31,W,80600,1310.833333
McCloud,CDEC,MSS,65,1910,11,1910,8,31,W,72700,1182.352151
McCloud,CDEC,MSS,65,1910,12,1910,9,30,W,67800,1139.416667
McCloud,CDEC,MSS,65,1911,1,1910,10,31,W,80500,1309.206989
McCloud,CDEC,MSS,65,1911,2,1910,11,30,W,99200,1667.111111
McCloud,CDEC,MSS,65,1911,3,1910,12,31,W,140400,2283.387097
McCloud,CDEC,MSS,65,1911,4,1911,1,31,W,172200,2800.564516
McCloud,CDEC,MSS,65,1911,5,1911,2,28,W,212900,3833.467262
McCloud,CDEC,MSS,65,1911,6,1911,3,31,W,203600,3311.236559
McCloud,CDEC,MSS,65,1911,7,1911,4,30,W,207200,3482.111111
McCloud,CDEC,MSS,65,1911,8,1911,5,31,W,160800,2615.16129
McCloud,CDEC,MSS,65,1911,9,1911,6,30,W,110200,1851.972222
McCloud,CDEC,MSS,65,1911,10,1911,7,31,W,89500,1455.577957
McCloud,CDEC,MSS,65,1911,11,1911,8,31,W,80600,1310.833333
McCloud,CDEC,MSS,65,1911,12,1911,9,30,W,75300,1265.458333
McCloud,CDEC,MSS,65,1912,1,1911,10,31,W,84800,1379.139785
McCloud,CDEC,MSS,65,1912,2,1911,11,30,BN,80300,1349.486111
McCloud,CDEC,MSS,65,1912,3,1911,12,31,BN,79300,1289.69086
McCloud,CDEC,MSS,65,1912,4,1912,1,32,BN,137000,2158.463542
