huc8,source_author,source_gage,source_sensor,wy_type,wy_mo,cy_mo,stat,af,cfs
McCloud,CDEC,MSS,65,C,1,10,mean,45064.1875,723.7150183
McCloud,CDEC,MSS,65,C,2,11,mean,49896.3125,833.3031673
McCloud,CDEC,MSS,65,C,3,12,mean,66432.125,1075.43394
McCloud,CDEC,MSS,65,C,4,1,mean,66393.8125,1066.843762
McCloud,CDEC,MSS,65,C,5,2,mean,76383.625,1355.871847
McCloud,CDEC,MSS,65,C,6,3,mean,89657.0625,1442.585596
McCloud,CDEC,MSS,65,C,7,4,mean,75964.5,1259.914397
McCloud,CDEC,MSS,65,C,8,5,mean,67444.625,1083.363479
McCloud,CDEC,MSS,65,C,9,6,mean,54348.5625,901.9135758
McCloud,CDEC,MSS,65,C,10,7,mean,48499.6875,778.7382093
McCloud,CDEC,MSS,65,C,11,8,mean,45564.9375,731.5225817
McCloud,CDEC,MSS,65,C,12,9,mean,43434.25,720.4484067
McCloud,CDEC,MSS,65,C,1,10,stdev,6463.633831,99.35952396
McCloud,CDEC,MSS,65,C,2,11,stdev,8849.600735,147.4961071
McCloud,CDEC,MSS,65,C,3,12,stdev,32926.62928,537.7665405
McCloud,CDEC,MSS,65,C,4,1,stdev,22819.79961,367.1488621
McCloud,CDEC,MSS,65,C,5,2,stdev,30291.01051,537.6701686
McCloud,CDEC,MSS,65,C,6,3,stdev,30617.02751,501.0559286
McCloud,CDEC,MSS,65,C,7,4,stdev,21387.27843,350.3857569
McCloud,CDEC,MSS,65,C,8,5,stdev,17846.78146,284.3829151
McCloud,CDEC,MSS,65,C,9,6,stdev,11438.92057,188.6124203
McCloud,CDEC,MSS,65,C,10,7,stdev,7139.862545,108.6976915
McCloud,CDEC,MSS,65,C,11,8,stdev,7769.356485,118.9798631
McCloud,CDEC,MSS,65,C,12,9,stdev,6607.937908,104.756879
McCloud,CDEC,MSS,65,C,1,10,count,16,16
McCloud,CDEC,MSS,65,C,2,11,count,16,16
McCloud,CDEC,MSS,65,C,3,12,count,16,16
McCloud,CDEC,MSS,65,C,4,1,count,16,16
McCloud,CDEC,MSS,65,C,5,2,count,16,16
McCloud,CDEC,MSS,65,C,6,3,count,16,16
McCloud,CDEC,MSS,65,C,7,4,count,16,16
McCloud,CDEC,MSS,65,C,8,5,count,16,16
McCloud,CDEC,MSS,65,C,9,6,count,16,16
McCloud,CDEC,MSS,65,C,10,7,count,16,16
McCloud,CDEC,MSS,65,C,11,8,count,16,16
McCloud,CDEC,MSS,65,C,12,9,count,16,16
McCloud,CDEC,MSS,65,C,1,10,median,44350,721.2836022
McCloud,CDEC,MSS,65,C,2,11,median,49379,818.7010708
McCloud,CDEC,MSS,65,C,3,12,median,57250,915.7333669
McCloud,CDEC,MSS,65,C,4,1,median,60750,988.0040323
McCloud,CDEC,MSS,65,C,5,2,median,66691,1179.544794
McCloud,CDEC,MSS,65,C,6,3,median,82446.5,1319.639987
McCloud,CDEC,MSS,65,C,7,4,median,74861.5,1258.089097
McCloud,CDEC,MSS,65,C,8,5,median,63213,1010.707796
McCloud,CDEC,MSS,65,C,9,6,median,50925.5,855.8313194
McCloud,CDEC,MSS,65,C,10,7,median,47042,752.6811912
McCloud,CDEC,MSS,65,C,11,8,median,43932.5,703.9061156
McCloud,CDEC,MSS,65,C,12,9,median,42886.5,710.4955197
McCloud,CDEC,MSS,65,C,1,10,p10,36081.2,581.3166183
McCloud,CDEC,MSS,65,C,2,11,p10,37242.4,625.8792223
McCloud,CDEC,MSS,65,C,3,12,p10,38717.2,629.6748925
McCloud,CDEC,MSS,65,C,4,1,p10,40355,650.2244107
McCloud,CDEC,MSS,65,C,5,2,p10,43679.3,786.4873959
McCloud,CDEC,MSS,65,C,6,3,p10,54939,873.4321573
McCloud,CDEC,MSS,65,C,7,4,p10,51017,837.2565726
McCloud,CDEC,MSS,65,C,8,5,p10,49170,790.8860467
McCloud,CDEC,MSS,65,C,9,6,p10,42328.1,699.9063392
McCloud,CDEC,MSS,65,C,10,7,p10,39502.1,642.4400672
McCloud,CDEC,MSS,65,C,11,8,p10,34959,555.9340121
McCloud,CDEC,MSS,65,C,12,9,p10,34285.2,570.6441317
McCloud,CDEC,MSS,65,C,1,10,p90,54630,860.7070313
McCloud,CDEC,MSS,65,C,2,11,p90,63589,1045.614019
McCloud,CDEC,MSS,65,C,3,12,p90,127647.1,2075.981062
McCloud,CDEC,MSS,65,C,4,1,p90,105163.6,1676.543026
McCloud,CDEC,MSS,65,C,5,2,p90,126881.5,2284.622247
McCloud,CDEC,MSS,65,C,6,3,p90,140108.1,2278.639799
McCloud,CDEC,MSS,65,C,7,4,p90,118600,1961.045699
McCloud,CDEC,MSS,65,C,8,5,p90,101221,1630.33422
McCloud,CDEC,MSS,65,C,9,6,p90,74625.6,1230.661076
McCloud,CDEC,MSS,65,C,10,7,p90,59917.4,944.0111198
McCloud,CDEC,MSS,65,C,11,8,p90,58059.3,914.7363672
McCloud,CDEC,MSS,65,C,12,9,p90,53375.3,868.066035
