huc8_name,source_author,source_gage,source_sensor,wy,wy_mo,cy,cy_mo,mo_days,wy_type,af,cfs
Scott,CNRFC,FTJC1,NA,2013,1,2012,10,31,NA,1080,17.56
Scott,CNRFC,FTJC1,NA,2013,2,2012,11,30,NA,4740,79.66
Scott,CNRFC,FTJC1,NA,2013,3,2012,12,31,NA,64250,1044.93
Scott,CNRFC,FTJC1,NA,2013,4,2013,1,31,NA,20230,329.01
Scott,CNRFC,FTJC1,NA,2013,5,2013,2,28,NA,20820,374.88
Scott,CNRFC,FTJC1,NA,2013,6,2013,3,31,NA,33220,540.27
Scott,CNRFC,FTJC1,NA,2013,7,2013,4,30,NA,48120,808.68
Scott,CNRFC,FTJC1,NA,2013,8,2013,5,31,NA,31180,507.09
Scott,CNRFC,FTJC1,NA,2013,9,2013,6,30,NA,7710,129.57
Scott,CNRFC,FTJC1,NA,2013,10,2013,7,31,NA,2240,36.43
Scott,CNRFC,FTJC1,NA,2013,11,2013,8,31,NA,560,9.11
Scott,CNRFC,FTJC1,NA,2013,12,2013,9,30,NA,200,3.36
Scott,CNRFC,FTJC1,NA,2014,1,2013,10,31,NA,2620,42.61
Scott,CNRFC,FTJC1,NA,2014,2,2013,11,30,NA,2640,44.37
Scott,CNRFC,FTJC1,NA,2014,3,2013,12,31,NA,2990,48.63
Scott,CNRFC,FTJC1,NA,2014,4,2014,1,31,NA,3230,52.53
Scott,CNRFC,FTJC1,NA,2014,5,2014,2,28,NA,26430,475.9
Scott,CNRFC,FTJC1,NA,2014,6,2014,3,31,NA,51080,830.74
Scott,CNRFC,FTJC1,NA,2014,7,2014,4,30,NA,18330,308.05
Scott,CNRFC,FTJC1,NA,2014,8,2014,5,31,NA,8140,132.38
Scott,CNRFC,FTJC1,NA,2014,9,2014,6,30,NA,2490,41.85
Scott,CNRFC,FTJC1,NA,2014,10,2014,7,31,NA,310,5.04
Scott,CNRFC,FTJC1,NA,2014,11,2014,8,31,NA,270,4.39
Scott,CNRFC,FTJC1,NA,2014,12,2014,9,30,NA,300,5.04
Scott,CNRFC,FTJC1,NA,2015,1,2014,10,31,NA,1450,23.58
Scott,CNRFC,FTJC1,NA,2015,2,2014,11,30,NA,7740,130.08
Scott,CNRFC,FTJC1,NA,2015,3,2014,12,31,NA,66240,1077.29
Scott,CNRFC,FTJC1,NA,2015,4,2015,1,31,NA,33630,546.94
Scott,CNRFC,FTJC1,NA,2015,5,2015,2,28,NA,124870,2248.4
Scott,CNRFC,FTJC1,NA,2015,6,2015,3,31,NA,34200,556.21
Scott,CNRFC,FTJC1,NA,2015,7,2015,4,30,NA,15060,253.09
Scott,CNRFC,FTJC1,NA,2015,8,2015,5,31,NA,9250,150.44
Scott,CNRFC,FTJC1,NA,2015,9,2015,6,30,NA,3990,67.05
Scott,CNRFC,FTJC1,NA,2015,10,2015,7,31,NA,850,13.82
Scott,CNRFC,FTJC1,NA,2015,11,2015,8,31,NA,330,5.37
Scott,CNRFC,FTJC1,NA,2015,12,2015,9,30,NA,300,5.04
Scott,CNRFC,FTJC1,NA,2016,1,2015,10,31,NA,310,5.04
Scott,CNRFC,FTJC1,NA,2016,2,2015,11,30,NA,300,5.04
Scott,CNRFC,FTJC1,NA,2016,3,2015,12,31,NA,18720,304.45
Scott,CNRFC,FTJC1,NA,2016,4,2016,1,31,NA,73480,1195.04
Scott,CNRFC,FTJC1,NA,2016,5,2016,2,29,NA,80990,1408.02
Scott,CNRFC,FTJC1,NA,2016,6,2016,3,31,NA,146200,2377.72
Scott,CNRFC,FTJC1,NA,2016,7,2016,4,30,NA,92690,1557.71
Scott,CNRFC,FTJC1,NA,2016,8,2016,5,31,NA,62020,1008.66
Scott,CNRFC,FTJC1,NA,2016,9,2016,6,30,NA,22560,379.13
Scott,CNRFC,FTJC1,NA,2016,10,2016,7,31,NA,5550,90.26
Scott,CNRFC,FTJC1,NA,2016,11,2016,8,31,NA,650,10.57
Scott,CNRFC,FTJC1,NA,2016,12,2016,9,30,NA,290,4.87
Scott,CNRFC,FTJC1,NA,2017,1,2016,10,31,NA,14690,238.91
Scott,CNRFC,FTJC1,NA,2017,2,2016,11,30,NA,32780,550.89
Scott,CNRFC,FTJC1,NA,2017,3,2016,12,31,NA,66580,1082.82
Scott,CNRFC,FTJC1,NA,2017,4,2017,1,31,NA,94370,1534.78
Scott,CNRFC,FTJC1,NA,2017,5,2017,2,28,NA,214040,3853.99
