huc8_name,source_author,source_gage,source_sensor,wy,wy_mo,cy,cy_mo,mo_days,wy_type,af,cfs
Shasta,CNRFC,YREC1,NA,2013,1,2012,10,31,NA,6860,111.57
Shasta,CNRFC,YREC1,NA,2013,2,2012,11,30,NA,8710,146.38
Shasta,CNRFC,YREC1,NA,2013,3,2012,12,31,NA,13780,224.11
Shasta,CNRFC,YREC1,NA,2013,4,2013,1,31,NA,10770,175.16
Shasta,CNRFC,YREC1,NA,2013,5,2013,2,28,NA,9970,179.52
Shasta,CNRFC,YREC1,NA,2013,6,2013,3,31,NA,10490,170.6
Shasta,CNRFC,YREC1,NA,2013,7,2013,4,30,NA,6440,108.23
Shasta,CNRFC,YREC1,NA,2013,8,2013,5,31,NA,3390,55.13
Shasta,CNRFC,YREC1,NA,2013,9,2013,6,30,NA,1510,25.38
Shasta,CNRFC,YREC1,NA,2013,10,2013,7,31,NA,990,16.1
Shasta,CNRFC,YREC1,NA,2013,11,2013,8,31,NA,1580,25.7
Shasta,CNRFC,YREC1,NA,2013,12,2013,9,30,NA,1930,32.43
Shasta,CNRFC,YREC1,NA,2014,1,2013,10,31,NA,7250,117.91
Shasta,CNRFC,YREC1,NA,2014,2,2013,11,30,NA,7410,124.53
Shasta,CNRFC,YREC1,NA,2014,3,2013,12,31,NA,7770,126.37
Shasta,CNRFC,YREC1,NA,2014,4,2014,1,31,NA,8320,135.31
Shasta,CNRFC,YREC1,NA,2014,5,2014,2,28,NA,8490,152.87
Shasta,CNRFC,YREC1,NA,2014,6,2014,3,31,NA,9900,161.01
Shasta,CNRFC,YREC1,NA,2014,7,2014,4,30,NA,4010,67.39
Shasta,CNRFC,YREC1,NA,2014,8,2014,5,31,NA,1960,31.88
Shasta,CNRFC,YREC1,NA,2014,9,2014,6,30,NA,1200,20.17
Shasta,CNRFC,YREC1,NA,2014,10,2014,7,31,NA,700,11.38
Shasta,CNRFC,YREC1,NA,2014,11,2014,8,31,NA,810,13.17
Shasta,CNRFC,YREC1,NA,2014,12,2014,9,30,NA,2330,39.16
Shasta,CNRFC,YREC1,NA,2015,1,2014,10,31,NA,6950,113.03
Shasta,CNRFC,YREC1,NA,2015,2,2014,11,30,NA,8080,135.79
Shasta,CNRFC,YREC1,NA,2015,3,2014,12,31,NA,11700,190.28
Shasta,CNRFC,YREC1,NA,2015,4,2015,1,31,NA,9670,157.27
Shasta,CNRFC,YREC1,NA,2015,5,2015,2,28,NA,26760,481.84
Shasta,CNRFC,YREC1,NA,2015,6,2015,3,31,NA,10620,172.72
Shasta,CNRFC,YREC1,NA,2015,7,2015,4,30,NA,5590,93.94
