huc8_name,s_scenario,rept_month,af_monthly
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 99% Probability Of Exceedance",2,26000
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 99% Probability Of Exceedance",3,48000
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 99% Probability Of Exceedance",4,85000
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 99% Probability Of Exceedance",5,143000
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 99% Probability Of Exceedance",6,93000
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 99% Probability Of Exceedance",7,34000
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 99% Probability Of Exceedance",8,11000
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 99% Probability Of Exceedance",9,4000
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 90% Probability Of Exceedance",2,36000
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 90% Probability Of Exceedance",3,64000
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 90% Probability Of Exceedance",4,138000
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 90% Probability Of Exceedance",5,235000
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 90% Probability Of Exceedance",6,152000
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 90% Probability Of Exceedance",7,55000
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 90% Probability Of Exceedance",8,17000
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 90% Probability Of Exceedance",9,7000
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 75% Probability Of Exceedance",2,54000
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 75% Probability Of Exceedance",3,84000
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 75% Probability Of Exceedance",4,169000
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 75% Probability Of Exceedance",5,287000
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 75% Probability Of Exceedance",6,186000
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 75% Probability Of Exceedance",7,68000
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 75% Probability Of Exceedance",8,19000
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 75% Probability Of Exceedance",9,8000
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 50% Probability Of Exceedance",2,70000
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 50% Probability Of Exceedance",3,109000
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 50% Probability Of Exceedance",4,200000
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 50% Probability Of Exceedance",5,340000
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 50% Probability Of Exceedance",6,220000
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 50% Probability Of Exceedance",7,80000
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 50% Probability Of Exceedance",8,25000
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 50% Probability Of Exceedance",9,10000
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 25% Probability Of Exceedance",2,86000
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 25% Probability Of Exceedance",3,135000
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 25% Probability Of Exceedance",4,240000
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 25% Probability Of Exceedance",5,409000
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 25% Probability Of Exceedance",6,265000
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 25% Probability Of Exceedance",7,96000
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 25% Probability Of Exceedance",8,31000
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 25% Probability Of Exceedance",9,12000
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 10% Probability Of Exceedance",2,100000
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 10% Probability Of Exceedance",3,155000
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 10% Probability Of Exceedance",4,281000
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 10% Probability Of Exceedance",5,478000
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 10% Probability Of Exceedance",6,309000
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 10% Probability Of Exceedance",7,112000
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 10% Probability Of Exceedance",8,36000
Upper San Joaquin,"Forecast: Unimpaired Flow at MIL, 10% Probability Of Exceedance",9,14000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 99% Probability Of Exceedance",2,24000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 99% Probability Of Exceedance",3,32000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 99% Probability Of Exceedance",4,65000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 99% Probability Of Exceedance",5,95000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 99% Probability Of Exceedance",6,53000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 99% Probability Of Exceedance",7,12000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 99% Probability Of Exceedance",8,2000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 99% Probability Of Exceedance",9,1000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 90% Probability Of Exceedance",2,34000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 90% Probability Of Exceedance",3,45000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 90% Probability Of Exceedance",4,92000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 90% Probability Of Exceedance",5,136000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 90% Probability Of Exceedance",6,75000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 90% Probability Of Exceedance",7,17000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 90% Probability Of Exceedance",8,3000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 90% Probability Of Exceedance",9,2000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 75% Probability Of Exceedance",2,41000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 75% Probability Of Exceedance",3,58000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 75% Probability Of Exceedance",4,115000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 75% Probability Of Exceedance",5,170000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 75% Probability Of Exceedance",6,94000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 75% Probability Of Exceedance",7,21000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 75% Probability Of Exceedance",8,4000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 75% Probability Of Exceedance",9,2000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 50% Probability Of Exceedance",2,49000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 50% Probability Of Exceedance",3,67000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 50% Probability Of Exceedance",4,135000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 50% Probability Of Exceedance",5,200000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 50% Probability Of Exceedance",6,110000
Upper Merced,"Forecast: Unimpaired Flow at MMF, 50% Probability Of Exceedance",7,25000
